Blue Light (Forward),Blue Light (Reverse),Radio Waves (Forward),Radio Waves (Reverse),Red Light (Forward),Red Light (Reverse),White Light (Forward),White Light (Reverse)
14.922178,25.537737,452.0302,22.642267,61.992405,329.77023,1.7260486,62.07727
18.121895,6.746906,353.23474,6.8942733,104.43212,317.5581,40.41537,92.01603
44.2475,4.868439,153.72853,6.4306774,44.672436,241.54176,47.66594,27.580032
25.857851,34.375412,239.15889,6.7379155,93.35547,313.50455,77.19332,37.08274
21.08065,18.020521,79.1491,10.978062,111.15484,119.299904,48.34277,2.9786286
11.626439,13.9050665,104.83316,14.826238,39.93728,55.939262,27.4159,42.10118
57.513245,23.634378,427.73248,69.54546,86.18341,153.82944,9.220166,65.073784
5.972806,81.44923,312.23584,55.78339,69.11117,20.231281,88.16345,10.26397
246.16748,38.893745,322.08817,2.2791665,4.2498007,109.40988,54.119144,12.760753
37.82907,42.019844,233.54297,52.03541,23.500599,24.845127,14.152765,145.51831
17.851604,7.0696106,49.613686,137.13118,67.92797,9.267976,21.89747,130.71292
23.223867,20.268593,249.69897,135.08679,76.1135,4.086126,32.504173,57.742958
6.76967,28.777813,317.88922,9.825337,55.95616,24.91809,28.177473,340.61975
2.9507022,50.22145,348.3384,3.2656736,18.471893,20.732084,69.71858,122.182785
15.512395,13.169644,335.54327,10.352833,59.30891,6.308065,6.8335075,369.83243
15.803925,52.329655,461.03867,60.87516,26.242336,42.59865,64.723274,107.61499
37.34515,65.77605,445.74936,66.43795,10.94041,16.970293,8.900278,101.05603
61.374794,11.347214,273.30966,33.946022,132.355,40.082397,39.409317,354.06525
13.597086,18.440584,469.48624,34.81001,154.83713,23.32286,8.550204,113.41066
45.256252,18.011774,518.2363,4.347944,42.82143,21.020597,59.549023,75.857925
20.434889,6.1800947,469.24652,107.13693,6.452373,3.9845023,61.3818,159.36931
33.277084,3.9127085,558.22864,143.61272,39.41215,39.772858,21.041111,35.917656
61.757954,8.031957,361.8941,41.074265,68.141335,38.056736,31.102686,98.84799
67.06051,29.998608,256.38467,3.2002015,95.452286,10.358487,46.026554,140.36798
73.65236,27.172071,514.9085,5.1028185,65.372604,19.673096,83.73299,19.262596
3.3435197,28.91554,322.6034,34.309364,55.013702,10.292538,61.657932,74.52258
16.393026,23.391022,547.1764,40.352646,133.04396,38.040066,44.718475,80.749664
6.688834,15.29615,482.7707,2.6613088,127.64712,56.724346,31.514044,14.93423
52.48132,82.78184,423.6424,28.596722,9.0667095,38.557476,41.42859,184.64095
125.780365,80.92848,426.69635,4.0402803,41.91453,8.942706,63.40057,343.86435
104.03005,35.686,512.0136,6.033526,86.21451,22.819138,64.8798,232.32948
96.48328,19.405333,517.0435,4.4994164,92.73973,21.11064,28.58423,77.791756
118.12988,22.313856,522.83527,0.2699303,115.52789,5.4912133,57.2734,125.908264
91.227615,31.393982,318.7094,148.09286,138.99803,29.71132,53.89352,251.16287
98.225945,33.528053,520.7826,148.41763,130.42741,237.77866,90.576744,365.83408
22.174711,14.926043,583.95746,3.397628,68.39253,417.0102,106.16271,502.91916
56.848404,50.686947,585.7411,23.948751,95.20259,350.14398,46.308807,434.57227
325.5245,88.83719,578.9327,22.281254,186.53299,276.55264,90.43206,127.51568
3.7022204,10.322494,535.04346,5.883117,222.44101,217.74606,19.383535,12.533801
27.280935,33.106194,402.61673,2.4766526,202.78148,138.30486,27.738499,14.463903
38.03584,19.760895,342.1457,127.23812,161.6165,78.39692,112.70067,99.94437
198.75638,130.39294,443.8559,6.1317763,157.43907,213.0686,32.9176,24.610262
231.86707,282.6762,508.53812,5.419913,126.3932,349.51187,3.9981794,210.1507
21.512323,298.63226,393.5201,124.74951,84.692444,210.87962,19.46325,37.490772
27.002602,143.47244,250.82011,128.87187,145.67685,208.20386,5.941428,189.13376
40.975033,92.25353,262.884,3.1754975,114.85415,211.47076,35.476437,150.90204
23.37184,209.6084,430.2984,3.46251,142.10153,172.41864,9.410566,65.20847
229.89865,202.15242,323.09775,1.6448052,160.0347,158.7627,46.420265,224.06923
137.27284,122.44202,273.40936,124.368126,91.653786,143.81079,26.837893,84.93636
7.8662286,39.582703,303.60858,124.33386,81.53689,198.66711,19.461288,9.395989
12.388682,180.38324,352.7381,3.8884008,55.04609,132.2564,11.708041,11.262389
27.990578,281.41946,345.2445,2.452578,16.823011,115.49883,33.61832,8.125755
155.97054,109.52198,125.64516,4.4261937,54.337406,178.16489,47.94173,29.632566
230.57187,37.943077,41.049595,54.859447,52.854664,179.87947,76.39914,37.013145
31.847921,38.09768,83.422646,55.347404,138.41188,205.75868,46.31615,20.768267
206.60747,55.917362,68.77776,28.511078,22.45536,245.62616,47.105495,8.950479
123.60219,184.85876,41.490772,28.591446,35.97466,290.7452,51.45875,57.223873
89.38865,243.12198,276.72998,5.8522654,13.632424,347.13165,49.100536,51.250397
77.78074,365.6051,198.82115,1.8138129,24.221292,280.4261,41.911198,12.960866
368.3741,199.88127,22.822926,2.5398133,75.15258,151.26198,28.053139,58.192368
290.37793,24.738148,122.9692,9.981194,243.94887,72.74943,9.812489,13.799474
41.2511,14.219613,93.84111,1.5757481,332.00418,26.334713,56.547783,10.515281
219.08145,22.258736,157.55762,7.6121774,377.5472,28.92583,13.6984005,15.546844
107.33546,37.6494,222.92761,134.7681,317.9377,30.011621,27.37809,6.797717
126.846375,513.18933,198.15143,115.9614,226.5037,28.32261,38.339714,14.229861
95.414215,505.54138,244.97647,2.4338706,206.78197,72.28338,30.528318,10.833475
79.619934,50.281517,329.96994,1.7203982,210.85052,52.079132,25.863852,2.7407267
66.717026,51.47905,175.24075,57.340935,246.06883,27.933935,27.89116,24.216034
11.317945,374.88568,173.2218,63.553467,195.97379,79.73932,9.8960085,4.6642222
3.4116008,295.75327,184.29282,19.010221,97.93291,4.657469,30.031769,59.528744
58.57792,134.85701,269.54584,10.887323,56.97261,34.11372,41.203114,61.455357
18.455894,36.248184,351.8336,27.69534,65.482086,39.077236,46.086967,29.368551
33.407635,172.63121,309.8243,25.632172,54.147694,22.527117,39.502808,152.48709
107.548325,37.406727,264.59396,2.7925236,73.141235,27.905567,13.689991,254.36319
2.5266588,39.88667,295.86838,34.700314,138.3214,0.96903276,7.037026,253.9032
32.601738,8.795924,240.35379,239.20035,26.21514,5.848295,5.7404876,176.81804
19.659887,66.6746,188.50943,202.82954,43.428856,8.332998,39.99882,194.28844
130.80501,8.090302,157.50726,8.38272,56.096485,19.59725,55.24505,216.7903
159.60408,162.83087,90.11442,0.94464946,113.54469,11.52726,27.65794,369.83228
101.00411,25.765057,107.03904,20.54473,134.75783,2.557712,14.455343,247.53331
42.920803,60.9766,33.031185,50.542233,171.4793,4.9276447,13.678193,108.20483
28.990978,102.8426,129.85315,5.209087,220.36157,3.7340107,27.038872,180.12035
101.529724,13.109696,81.69698,3.180466,140.12758,8.181929,29.884897,136.64029
40.19495,9.427875,89.51752,6.862685,75.00325,9.367509,3.5443888,58.129307
72.35049,177.379,134.29066,13.464291,84.37787,6.9021783,36.508663,239.8311
39.397167,137.00877,191.03014,25.51678,32.618942,104.26938,9.617638,285.46756
64.064186,48.618298,189.7132,10.4538765,115.402016,135.67053,91.09449,6.6819777
